Date,Open,High,Low,Close,Volume,Adj Close
1999-11-01,21.75,24.38,21.75,23.5,23.5,23.5
1999-11-02,23.94,25.13,23.75,25.0,25.0,25.0
1999-11-03,26.0,28.13,25.81,27.44,27.44,27.44
1999-11-04,27.75,29.94,27.75,29.19,29.19,29.19
1999-11-05,30.0,30.25,26.88,28.25,28.25,28.25
1999-11-08,27.38,29.88,26.5,29.06,29.06,29.06
1999-11-09,29.0,29.13,27.5,28.63,28.63,28.63
1999-11-10,28.72,28.75,27.81,28.38,28.38,28.38
1999-11-11,28.38,31.88,27.75,30.38,30.38,30.38
1999-11-12,31.69,32.0,29.88,32.0,32.0,32.0
1999-11-15,32.22,33.19,30.88,31.38,31.38,31.38
1999-11-16,32.13,35.0,32.0,34.38,34.38,34.38
1999-11-17,35.0,37.5,34.5,35.69,35.69,35.69
1999-11-18,36.44,36.75,35.5,35.81,35.81,35.81
1999-11-19,40.13,44.38,40.0,42.88,42.88,42.88
1999-11-22,43.97,44.0,40.25,42.81,42.81,42.81
1999-11-23,38.25,40.19,38.0,39.75,39.75,39.75
1999-11-24,39.56,40.0,35.56,38.5,38.5,38.5
1999-11-26,38.13,38.5,37.0,38.25,38.25,38.25
1999-11-29,38.13,38.63,36.0,36.88,36.88,36.88
1999-11-30,37.0,37.63,34.63,34.63,34.63,34.63
1999-12-01,34.63,36.88,34.63,36.38,36.38,36.38
1999-12-02,36.5,39.56,36.5,39.06,39.06,39.06
1999-12-03,39.44,40.13,37.63,38.13,38.13,38.13
1999-12-06,38.25,39.38,38.25,39.19,39.19,39.19
1999-12-07,39.5,39.56,36.38,37.88,37.88,37.88
1999-12-08,37.75,39.94,37.63,39.56,39.56,39.56
1999-12-09,39.5,40.5,37.0,38.38,38.38,38.38
1999-12-10,39.06,39.25,37.25,37.94,37.94,37.94
1999-12-13,37.5,38.81,37.0,37.81,37.81,37.81
1999-12-14,37.88,38.81,36.81,37.19,37.19,37.19
