Date,Open,High,Low,Close,Volume,Adj Close
1999-11-01,136.5,137.0,135.5625,135.5625,135.5625,135.5625
1999-11-02,135.9687,137.25,134.5937,134.5937,134.5937,134.5937
1999-11-03,136.0,136.375,135.125,135.5,135.5,135.5
1999-11-04,136.75,137.3593,135.7656,136.5312,136.5312,136.5312
1999-11-05,138.625,139.1093,136.7812,137.875,137.875,137.875
1999-11-08,137.0,138.375,136.75,138.0,138.0,138.0
1999-11-09,138.5,138.6875,136.2812,136.7031,136.7031,136.7031
1999-11-10,136.25,138.3906,136.0781,137.7187,137.7187,137.7187
1999-11-11,138.1875,138.5,137.4687,138.5,138.5,138.5
1999-11-12,139.25,139.9843,137.125,139.75,139.75,139.75
1999-11-15,139.8437,140.25,139.4062,140.0781,140.0781,140.0781
1999-11-16,140.5625,143.0,140.0937,141.25,141.25,141.25
1999-11-17,142.25,142.9375,141.3125,141.625,141.625,141.625
1999-11-18,142.4375,143.0,141.625,142.625,142.625,142.625
1999-11-19,142.4062,142.9687,142.0,142.5,142.5,142.5
1999-11-22,142.4375,143.0,141.5,142.4687,142.4687,142.4687
1999-11-23,142.8437,142.8437,140.375,141.2187,141.2187,141.2187
1999-11-24,140.75,142.4375,140.0,141.9687,141.9687,141.9687
1999-11-26,142.4687,142.875,141.25,141.4375,141.4375,141.4375
1999-11-29,140.875,141.9218,140.4375,140.9375,140.9375,140.9375
1999-11-30,140.75,142.3125,139.0,139.2812,139.2812,139.2812
1999-12-01,139.3125,140.5,139.0,140.4062,140.4062,140.4062
1999-12-02,140.625,141.375,140.375,141.25,141.25,141.25
1999-12-03,143.0312,145.3437,143.0312,143.8437,143.8437,143.8437
1999-12-06,143.5312,143.7187,142.25,142.7812,142.7812,142.7812
1999-12-07,143.2812,143.3125,141.375,141.625,141.625,141.625
1999-12-08,141.3437,142.0625,140.5,140.7187,140.7187,140.7187
1999-12-09,141.8125,142.2187,139.375,141.4062,141.4062,141.4062
1999-12-10,142.2812,142.8125,140.875,141.875,141.875,141.875
1999-12-13,141.4375,142.7187,141.2812,142.125,142.125,142.125
1999-12-14,141.625,142.4843,140.625,140.75,140.75,140.75
1999-12-15,140.375,142.2031,140.0312,141.5,141.5,141.5
1999-12-16,142.1875,142.6562,141.1562,142.125,142.125,142.125
1999-12-17,143.0,143.3125,142.0625,142.6875,142.6875,142.6875
1999-12-20,142.5625,143.1875,141.0937,141.6562,141.6562,141.6562
1999-12-21,141.5937,144.0625,141.3437,143.8125,143.8125,143.8125
1999-12-22,143.625,144.1875,142.9687,144.1875,144.1875,144.1875
1999-12-23,145.0156,146.4843,145.0,146.4843,146.4843,146.4843
1999-12-27,146.5,146.7812,145.0625,146.2812,146.2812,146.2812
1999-12-28,145.875,146.5,145.4843,146.1875,146.1875,146.1875
1999-12-29,146.3125,146.8125,145.3125,146.8125,146.8125,146.8125
1999-12-30,147.125,147.5625,146.1875,146.6406,146.6406,146.6406
1999-12-31,146.8437,147.5,146.25,146.875,146.875,146.875
2000-01-03,148.25,148.25,143.875,145.4375,145.4375,145.4375
2000-01-04,143.5312,144.0625,139.6406,139.75,139.75,139.75
2000-01-05,139.9375,141.5312,137.25,140.0,140.0,140.0
2000-01-06,139.625,141.5,137.75,137.75,137.75,137.75
2000-01-07,140.3125,145.75,140.0625,145.75,145.75,145.75
2000-01-10,146.25,146.9062,145.0312,146.25,146.25,146.25
2000-01-11,145.8125,146.0937,143.5,144.5,144.5,144.5
2000-01-12,144.5937,144.5937,142.875,143.0625,143.0625,143.0625
2000-01-13,144.4687,145.75,143.2812,145.0,145.0,145.0
2000-01-14,146.5312,147.4687,145.9687,146.9687,146.9687,146.9687
2000-01-18,145.3437,146.625,145.1875,145.8125,145.8125,145.8125
2000-01-19,145.3125,147.0,145.0,147.0,147.0,147.0
2000-01-20,146.9687,146.9687,143.8125,144.75,144.75,144.75
2000-01-21,145.5,145.5,144.0625,144.4375,144.4375,144.4375
2000-01-24,145.6562,145.8437,139.4062,140.3437,140.3437,140.3437
2000-01-25,140.5156,141.9375,139.0,141.9375,141.9375,141.9375
2000-01-26,141.0,141.5468,140.0937,140.8125,140.8125,140.8125
2000-01-27,141.8437,142.2187,138.125,140.25,140.25,140.25
2000-01-28,139.4375,140.0625,135.5312,135.875,135.875,135.875
2000-01-31,135.8125,139.6718,135.0,139.5625,139.5625,139.5625
2000-02-01,139.75,141.6875,138.5312,140.9375,140.9375,140.9375
2000-02-02,141.2812,142.25,140.375,141.0625,141.0625,141.0625
2000-02-03,140.875,143.25,140.0,143.1875,143.1875,143.1875
2000-02-04,143.1875,144.0,142.125,142.5937,142.5937,142.5937
2000-02-07,142.5625,142.7812,141.4375,142.375,142.375,142.375
2000-02-08,143.9687,144.5625,143.625,144.3125,144.3125,144.3125
2000-02-09,144.4687,144.4687,141.2656,141.2812,141.2812,141.2812
2000-02-10,141.625,142.5625,140.875,141.5625,141.5625,141.5625
2000-02-11,141.8437,141.9375,138.0312,138.6875,138.6875,138.6875
2000-02-14,139.7812,139.7812,138.3125,139.5,139.5,139.5
2000-02-15,139.25,141.2187,137.7968,141.0781,141.0781,141.0781
2000-02-16,140.375,140.9375,138.7968,139.0,139.0,139.0
